keys,EN,CN,JP,KO
他们能够为您争夺战场上的金矿，必要时他们也具有一定的战斗力,They can seize gold mines on the battlefield for you and they also have certain combat capabilities when necessary.,他们能够为您争夺战场上的金矿，必要时也具有一定的战斗力。,戦場の金鉱を奪取でき、必要に応じて戦闘も可能です。,전장의 금광을 탈취할 수 있으며  필요시 일정한 전투력도 갖추고 있습니다.
为您的步兵装备外骨骼，提高25移速，提高10携带金子,Equip your infantry with exoskeleton, +25 movement speed, +10 gold carrying capacity,为您的步兵装备外骨骼，提高25移速，提高10携带金子,歩兵に外骨格を装備、移動速度+25、携帯ゴールド+10,보병에게 외골격 장착, 이동속도 +25, 휴대 골드 +10
为您的步兵购买保险,战斗中身亡时返还10金子,Purchase insurance for your infantry, refunds 10 gold when killed in combat,为您的步兵购买保险，战斗中阵亡时返还10金子。,歩兵に保険を購入、戦闘で死亡時にゴールド10返還,보병에게 보험 구매, 전투 중 사망 시 골드 10 환급
为您的步兵携带背包,携带金子+10,Equip your infantry with a backpack, +10 gold carrying capacity,为您的步兵携带背包，携带金子+10。,歩兵にバックパックを装備、携帯ゴールド+10,보병에게 배낭 지급, 휴대 골드 +10
为您的步兵提高防弹头盔,步兵hp+5,Equip your infantry with a bulletproof helmet, +5 infantry HP,为您的步兵配备防弹头盔，步兵hp+5。,歩兵に防弾ヘルメットを装備、歩兵HP+5,보병에게 방탄헬멧 지급, 보병 HP +5
为您的步兵提高基本防弹衣,步兵hp+5,Equip your infantry with basic body armor, +5 infantry HP,为您的步兵配备基本防弹衣，步兵hp+5。,歩兵に基本防弾チョッキを装備、歩兵HP+5,보병에게 기본 방탄복 지급, 보병 HP +5
在战斗中每30秒生成一个游击车,Spawns a guerrilla vehicle every 30 seconds during combat,在战斗中每30秒生成一个游击车,戦闘中30秒ごとに遊撃車両を1台生成,전투 중 30초마다 유격 차량 1대 생성
提高游击车主炮的瞄准速度,Increases guerrilla vehicle main gun aiming speed,提高游击车主炮的瞄准速度,遊撃車両の主砲照準速度を向上,유격 차량 주포 조준 속도 향상
提高游击车25hp,+25 guerrilla vehicle HP,提高游击车25hp,遊撃車両HP+25,유격 차량 HP +25
为游击车额外加装一挺机枪,Adds an extra machine gun to the guerrilla vehicle,为游击车额外加装一挺机枪,遊撃車両に追加機関銃を装備,유격 차량에 추가 기관총 장착
提高游击车25点移动速度,+25 guerrilla vehicle movement speed,提高游击车25点移动速度,遊撃車両の移動速度+25,유격 차량 이동속도 +25
允许您在战斗中生产火箭车,Allows you to produce rocket vehicles during combat,允许您在战斗中生产火箭车,戦闘中にロケット車両を生産可能,전투 중 로켓 차량 생산 가능
这些火箭炮能够有效打击成群结队的敌人,These rocket launchers can effectively strike groups of enemies,这些火箭炮能够有效打击成群结队的敌人,これらのロケット砲は敵の集団に効果的にダメージを与えられます,이 로켓포는 적 무리를 효과적으로 타격할 수 있습니다
为火箭车提高冷却再装填速度,Increases rocket vehicle cooling and reload speed,为火箭车提高冷却再装填速度,ロケット車両の冷却・再装填速度を向上,로켓 차량 냉각 및 재장전 속도 향상
提高火箭车25点生命,+25 rocket vehicle HP,提高火箭车25点生命,ロケット車両HP+25,로켓 차량 HP +25
为火箭车额外加装一挺车载机枪,Adds an extra vehicle-mounted machine gun to the rocket vehicle,为火箭车额外加装一挺车载机枪,ロケット車両に追加車載機関銃を装備,로켓 차량에 추가 차재 기관총 장착
提高火箭车25点移动速度,+25 rocket vehicle movement speed,提高火箭车25点移动速度,ロケット車両の移動速度+25,로켓 차량 이동속도 +25
